,title,address.street-address,location.latitude,location.longitude,Type of place,stationName,address,longitude,latitude,distance
0,Centro Superior de Diseño y Moda de Madrid,CARRETERA VALENCIA 7 Bloque I,40.388857066045915,-3.6286523028588005,University,Bicipark Salamanca,Pl. del Marqués de Salamanca,-3.679172, 40.430315,7283.9094239047035
11,Centro Superior de Estudios Universitarios La Salle,CALLE LA SALLE 10,40.46627682124755,-3.7820191806815187,University,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",-3.7249142, 40.4959425,7175.632757409849
22,Centro de Enseñanza Superior Cardenal Cisneros,CALLE GENERAL DIAZ PORLIER 58,40.430655746270524,-3.676645132506573,University,Bicipark Salamanca,Pl. del Marqués de Salamanca,-3.679172, 40.430315,284.4109475227855
33,Centro de Enseñanza Superior Villanueva,CALLE COSTA BRAVA 2 y 6,40.49594165711777,-3.702048289834191,University,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",-3.7249142, 40.4959425,2550.77708941092
44,Centro de Enseñanza Superior en Humanidades y Ciencias de la Educación Don Bosco,CALLE MARIA AUXILIADORA 9,40.4578663330372,-3.7154022232737973,University,Bicipark Orense,"Avenida General Perón, 27",-3.693897, 40.452973,2460.030310641825
55,Colegio Mayor Alcalá,CALLE DON RAMON MENENDEZ PIDAL 2,40.44764820463789,-3.719503495059197,University,Bicipark Orense,"Avenida General Perón, 27",-3.693897, 40.452973,2917.331124394226
66,Colegio Mayor Alcor,CALLE GENERAL AMPUDIA 7,40.443245742864015,-3.715255918766616,University,Bicipark Orense,"Avenida General Perón, 27",-3.693897, 40.452973,2617.157569043012
77,Colegio Mayor Antonio de Nebrija,AVENIDA SENECA 8,40.43571333918665,-3.7284677239467596,University,Bicipark Canalejas,-,-3.6994506, 40.417807676,3801.4490357551517
88,Colegio Mayor Aquinas (Santo Tomás de Aquino),CALLE LEONARDO PRIETO CASTRO 6,40.45204759324346,-3.7218395787782304,University,Bicipark Orense,"Avenida General Perón, 27",-3.693897, 40.452973,3118.7803182927846
99,Colegio Mayor Argentino Nuestra Señora de Luján,CALLE MARTIN FIERRO 3,40.43610678975899,-3.731701576349752,University,Bicipark Canalejas,-,-3.6994506, 40.417807676,4134.390753800946
110,Colegio Mayor Barberán y Collar,AVENIDA SENECA 16,40.434545397562495,-3.7331585246591557,University,Bicipark Canalejas,-,-3.6994506, 40.417807676,4196.566345732883
121,Colegio Mayor Casa Do Brasil,AVENIDA MEMORIA 3,40.43853583084271,-3.7252915757655174,University,Bicipark Canalejas,-,-3.6994506, 40.417807676,3692.4251307565614
132,Colegio Mayor Chaminade,PASEO JUAN XXIII 9,40.44734637151868,-3.7177116209853853,University,Bicipark Orense,"Avenida General Perón, 27",-3.693897, 40.452973,2729.4264882667003
143,Colegio Mayor Diego de Covarrubias,AVENIDA SENECA 10,40.43543488509487,-3.7297224981364576,University,Bicipark Canalejas,-,-3.6994506, 40.417807676,3905.662824504342
154,Colegio Mayor Elías Ahúja,CALLE RECTOR ROYO-VILLANOVA 4,40.45084427289562,-3.7153019237576634,University,Bicipark Orense,"Avenida General Perón, 27",-3.693897, 40.452973,2399.5045203820873
165,Colegio Mayor Fundación SEPI,AVENIDA GREGORIO DEL AMO 2,40.446907485706866,-3.7188228498669362,University,Bicipark Orense,"Avenida General Perón, 27",-3.693897, 40.452973,2861.3561451594064
