,index,title,address.street-address,location.latitude,location.longitude,Type of place,name,address,longitude,latitude,distance
0,0,Centro Superior de Diseño y Moda de Madrid,CARRETERA VALENCIA 7 Bloque I,40.388857066045915,-3.6286523028588005,University,221 - Pavones,Calle Hacienda de Pavones nº 342,-3.634587, 40.400368,1442.281843206676
1,264,Centro Superior de Estudios Universitarios La Salle,CALLE LA SALLE 10,40.46627682124755,-3.7820191806815187,University,261 - Facultad Derecho,Avenida Complutense nº 23,-3.72937, 40.45109,6111.957433408611
2,528,Centro de Enseñanza Superior Cardenal Cisneros,CALLE GENERAL DIAZ PORLIER 58,40.430655746270524,-3.676645132506573,University,144 - Juan Bravo 50,Calle Juan Bravo nº 50,-3.6758555, 40.4323655,209.72282767013124
3,792,Centro de Enseñanza Superior Villanueva,CALLE COSTA BRAVA 2 y 6,40.49594165711777,-3.702048289834191,University,217 - Pedro Rico,Calle Pedro Rico nº 4,-3.688463, 40.481086,2243.082119041258
4,1056,Centro de Enseñanza Superior en Humanidades y Ciencias de la Educación Don Bosco,CALLE MARIA AUXILIADORA 9,40.4578663330372,-3.7154022232737973,University,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,-3.708002730875242, 40.45673408797698,835.006656205909
5,1320,Colegio Mayor Alcalá,CALLE DON RAMON MENENDEZ PIDAL 2,40.44764820463789,-3.719503495059197,University,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,-3.71383, 40.44635,649.1912525038299
6,1584,Colegio Mayor Alcor,CALLE GENERAL AMPUDIA 7,40.443245742864015,-3.715255918766616,University,203 - San Francisco de Sales,Calle General Ampudia nº 2,-3.7144722, 40.44175,188.06244738999055
7,1848,Colegio Mayor Antonio de Nebrija,AVENIDA SENECA 8,40.43571333918665,-3.7284677239467596,University,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,-3.72997, 40.43896,398.38114362761735
8,2112,Colegio Mayor Aquinas (Santo Tomás de Aquino),CALLE LEONARDO PRIETO CASTRO 6,40.45204759324346,-3.7218395787782304,University,260 - Facultad Biología,Calle José Antonio Novais frente al nº 12,-3.7272945, 40.4483322,735.7739235278866
9,2376,Colegio Mayor Argentino Nuestra Señora de Luján,CALLE MARTIN FIERRO 3,40.43610678975899,-3.731701576349752,University,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,-3.72997, 40.43896,371.74567552435343
10,2640,Colegio Mayor Barberán y Collar,AVENIDA SENECA 16,40.434545397562495,-3.7331585246591557,University,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,-3.72997, 40.43896,606.6519056768285
11,2904,Colegio Mayor Casa Do Brasil,AVENIDA MEMORIA 3,40.43853583084271,-3.7252915757655174,University,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,-3.72997, 40.43896,524.0355939620541
12,3168,Colegio Mayor Chaminade,PASEO JUAN XXIII 9,40.44734637151868,-3.7177116209853853,University,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,-3.71383, 40.44635,446.9901752064536
13,3432,Colegio Mayor Diego de Covarrubias,AVENIDA SENECA 10,40.43543488509487,-3.7297224981364576,University,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,-3.72997, 40.43896,393.3841266394772
14,3696,Colegio Mayor Elías Ahúja,CALLE RECTOR ROYO-VILLANOVA 4,40.45084427289562,-3.7153019237576634,University,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,-3.71383, 40.44635,526.556256753516
15,3960,Colegio Mayor Fundación SEPI,AVENIDA GREGORIO DEL AMO 2,40.446907485706866,-3.7188228498669362,University,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,-3.71383, 40.44635,560.4194195340286
16,4224,Colegio Mayor Jaime del Amo,AVENIDA GREGORIO DEL AMO 5,40.44582638073112,-3.72226686792607,University,258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),-3.72699, 40.44375,575.3599476486814
17,4488,Colegio Mayor Jorge Juan,AVENIDA SENECA 14,40.4349249042721,-3.7317433524081887,University,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,-3.72997, 40.43896,490.8185814858734
18,4752,Colegio Mayor Juan Luis Vives,CALLE FRANCISCO SUAREZ 7,40.46502029145429,-3.6845899986944497,University,255 - López Pozas,Calle General López Pozas nº 2,-3.68514, 40.46361,168.55543088062046
19,5016,Colegio Mayor Juan XXIII Roncalli,CALLE RAMIRO DE MAEZTU 3,40.44903948047641,-3.7180373012857046,University,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,-3.71383, 40.44635,556.7015760121665
20,5280,Colegio Mayor Loyola,PASEO JUAN XXIII 17,40.45000544910973,-3.7153887868377877,University,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,-3.71383, 40.44635,442.51935789293634
21,5544,Colegio Mayor Mara,PASEO JUAN XXIII 15,40.44958307800659,-3.7160919870624136,University,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,-3.71383, 40.44635,439.5491988349685
22,5808,Colegio Mayor Marqués de la Ensenada,AVENIDA SENECA 18,40.43444043139228,-3.733543743924688,University,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,-3.72997, 40.43896,641.923419401525
23,6072,Colegio Mayor Mater Salvatoris,CALLE VALDESQUI 3,40.46404258469897,-3.7710701028693103,University,261 - Facultad Derecho,Avenida Complutense nº 23,-3.72937, 40.45109,4870.325301028115
24,6336,Colegio Mayor Moncloa,AVENIDA MONCLOA 3,40.44587627267912,-3.715446297968531,University,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,-3.71383, 40.44635,187.85797365322748
25,6600,Colegio Mayor Montalbán,CALLE DIEGO DE LEON 14,40.434842602381124,-3.684160626397251,University,190 - Velázquez-Diego de León,Calle Velázquez nº 91,-3.6835833, 40.4343333,85.8009990825241
26,6864,Colegio Mayor Méndel,CALLE RECTOR ROYO-VILLANOVA 6,40.450938406912854,-3.716699793684652,University,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,-3.71383, 40.44635,602.8124624031059
